"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"26",621111,"Buehler, Walker","2021-05-22","105","24.8","0.500","0.167","1.000","0.667","0.500","0.379","0.293","3","6","86.2","32.7","2767","90.0","90.59","5","13","13","0.6","6.60","110","158","111","154","301","326","306"
"25",554430,"Wheeler, Zack","2021-08-19","100","25.0","0.600","0.400","0.750","1.000","0.676","0.358","0.299","3","5","80.6","0.8","2357","92.8","94.21","5","12","13","1.4","7.20","106","141","105","139","300","312","285"
"25",621111,"Buehler, Walker","2021-08-14","110","22.7","0.250","0.000","0.500","0.250","0.314","0.218","0.109","1","4","87.0","40.0","2222","92.1","92.05","5","12","13","-0.1","6.40","108","146","113","149","291","321","299"
"25",554430,"Wheeler, Zack","2021-09-11","101","24.8","0.000","0.000","0.000","0.000","0.277","0.326","0.089","0","3","81.9","0.0","2339","94.4","95.95","2","6","19","1.5","7.20","112","146","105","147","285","319","297"
"22",621111,"Buehler, Walker","2021-06-29","113","19.5","0.250","0.250","0.333","0.500","0.310","0.117","0.123","1","4","89.3","-3.3","2311","90.2","90.56","5","12","10","0.4","6.35","109","157","128","154","298","314","293"
"20",592836,"Walker, Taijuan","2021-05-12","97","20.6","0.250","0.000","0.250","0.250","0.314","0.301","0.209","1","4","70.6","10.5","2023","89.3","87.82","0","9","11","-1.5","5.88","106","158","115","150","289","318","301"
"20",554430,"Wheeler, Zack","2021-08-03","105","19.0","0.500","0.000","0.500","0.500","0.440","0.262","0.282","3","6","81.8","-0.3","2348","91.8","93.59","2","12","8","1.8","7.12","105","150","105","146","304","325","301"
"20",592836,"Walker, Taijuan","2021-08-14","93","21.5","0.500","1.000","0.500","1.500","0.788","0.713","0.419","2","4","101.8","29.0","1766","90.7","90.18","3","11","9","-0.5","6.17","118","163","117","151","304","337","297"
"20",543135,"Eovaldi, Nathan","2021-04-19","100","20.0","0.667","0.000","1.000","0.667","0.586","0.083","0.091","2","3","77.9","2.0","2198","92.1","87.83","3","11","9","-4.3","6.54","96","149","111","145","292","311","296"
"19",554430,"Wheeler, Zack","2021-07-02","114","16.7","0.000","0.000","0.000","0.000","0.000","0.068","0.076","0","3","96.8","-13.0","2409","93.1","94.71","1","9","10","1.6","7.12","118","152","112","153","292","328","296"
"19",543135,"Eovaldi, Nathan","2021-08-11","97","19.6","0.000","0.000","0.000","0.000","0.173","0.234","0.059","0","3","88.6","53.5","2005","88.4","89.43","2","7","12","1.0","6.81","120","157","140","152","272","319","307"
"18",592836,"Walker, Taijuan","2021-06-09","93","19.4","0.250","0.250","0.333","0.500","0.310","0.278","0.274","1","4","92.1","32.0","2112","89.3","88.84","2","11","7","-0.5","6.13","126","157","124","154","304","327","296"
"18",621111,"Buehler, Walker","2021-09-11","96","18.8","0.250","0.250","0.250","0.500","0.310","0.249","0.253","1","4","89.5","12.8","2260","92.3","92.47","1","10","8","0.2","6.34","125","153","106","151","292","314","297"
"17",554430,"Wheeler, Zack","2021-07-29","100","17.0","0.400","0.800","0.333","1.200","0.650","0.477","0.336","2","5","88.4","-1.0","2348","91.4","92.68","3","7","10","1.3","7.14","111","153","105","149","292","326","293"
"17",608331,"Fried, Max","2021-09-19","99","17.2","0.000","0.000","0.000","0.000","0.000","0.217","0.240","0","3","92.6","-7.3","2234","88.3","88.84","2","10","7","0.5","6.43","114","154","122","149","304","325","289"
"17",621111,"Buehler, Walker","2021-08-25","106","16.0","0.000","0.000","0.000","0.000","0.231","0.236","0.006","0","2","98.7","56.0","2449","91.4","91.52","2","6","11","0.1","6.43","123","163","124","151","305","320","297"
"17",543135,"Eovaldi, Nathan","2021-06-26","109","15.6","0.250","0.000","0.333","0.250","0.220","0.396","0.372","1","4","92.1","8.7","2159","90.7","91.44","5","10","7","0.7","6.67","95","150","122","145","289","325","291"
"17",554430,"Wheeler, Zack","2021-05-23","98","17.3","0.000","0.000","0.000","0.000","0.180","0.250","0.103","0","3","60.5","42.0","2399","92.0","93.38","3","9","8","1.4","7.10","106","154","119","147","296","329","280"
"16",543135,"Eovaldi, Nathan","2021-08-23","94","17.0","0.000","0.000","0.000","0.000","0.000","0.127","0.126","0","3","95.4","-12.0","1954","91.7","92.46","3","10","6","0.8","6.71","113","160","127","151","274","314","307"
"16",554430,"Wheeler, Zack","2021-06-27","103","15.5","0.000","0.000","0.000","0.000","0.173","0.274","0.150","0","3","70.6","4.0","2423","90.9","92.63","2","7","9","1.7","7.06","107","161","112","148","293","324","306"
"16",608331,"Fried, Max","2021-07-17","96","16.7","0.000","0.000","0.000","0.000","0.173","0.188","0.022","0","3","82.5","2.5","2052","87.2","87.54","1","5","11","0.3","6.41","105","151","121","148","315","322","288"
"15",621111,"Buehler, Walker","2021-04-27","96","15.6","0.667","0.333","1.000","1.000","0.707","0.550","0.571","2","3","100.9","11.0","2804","87.9","87.82","2","7","8","-0.1","6.52","112","164","118","149","298","313","291"
"14",554430,"Wheeler, Zack","2021-05-18","92","15.2","0.400","0.000","0.400","0.400","0.352","0.261","0.259","2","5","86.4","-12.6","2235","95.0","96.24","2","9","5","1.2","7.21","112","151","111","150","289","321","290"
"14",621111,"Buehler, Walker","2021-07-22","99","14.1","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2391","91.1","91.44","3","3","11","0.3","6.32","123","156","122","154","293","316","300"
"14",554430,"Wheeler, Zack","2021-06-10","105","13.3","0.250","0.000","0.333","0.250","0.220","0.319","0.331","1","4","88.1","18.0","2326","93.2","94.56","2","9","5","1.4","7.06","94","151","116","147","295","327","298"
"14",608331,"Fried, Max","2021-07-28","106","13.2","0.250","0.750","0.000","1.000","0.502","0.491","0.310","1","4","103.9","15.0","2451","83.0","82.91","2","6","8","-0.1","6.25","105","153","115","150","304","347","293"
"14",621111,"Buehler, Walker","2021-04-22","101","13.9","0.000","0.000","0.000","0.000","0.000","0.004","0.004","0","3","88.2","75.0","2722","88.2","88.53","2","7","7","0.3","6.40","118","154","120","150","302","315","294"
"14",554430,"Wheeler, Zack","2021-08-25","102","13.7","0.250","0.000","0.500","0.250","0.220","0.269","0.269","1","4","98.5","11.0","2428","95.0","96.65","2","7","7","1.7","7.31","106","150","106","155","294","316","293"
"14",621111,"Buehler, Walker","2021-07-28","98","14.3","0.000","0.000","0.000","0.000","0.000","0.067","0.074","0","3","93.7","-11.0","2371","89.3","89.64","3","6","8","0.3","6.46","121","159","125","154","297","319","303"
"13",621111,"Buehler, Walker","2021-07-17","93","14.0","0.000","0.000","0.000","0.000","0.000","0.147","0.151","0","3","98.2","0.0","2358","89.0","89.85","4","5","8","0.9","6.32","124","167","123","155","303","335","311"
"13",592836,"Walker, Taijuan","2021-04-25","95","13.7","0.000","0.000","0.000","0.000","0.000","0.098","0.108","0","3","95.1","-18.5","2039","91.7","90.61","0","3","10","-1.1","5.96","110","154","118","149","300","323","294"
"13",554430,"Wheeler, Zack","2021-04-26","114","11.4","0.000","0.000","0.000","0.000","0.173","0.219","0.054","0","3","84.0","29.3","2357","91.3","92.96","1","8","5","1.7","7.19","112","153","119","149","316","334","299"
"13",608331,"Fried, Max","2021-05-23","87","14.9","0.400","0.000","0.500","0.400","0.352","0.191","0.205","2","5","87.9","7.3","2338","88.5","88.84","1","9","4","0.3","6.25","110","151","133","148","304","310","286"
"12",554430,"Wheeler, Zack","2021-09-28","93","12.9","0.000","0.000","0.000","0.000","0.000","0.137","0.150","0","3","101.3","1.0","2401","91.7","93.52","2","6","6","1.8","7.36","112","156","117","148","294","317","283"
"12",621111,"Buehler, Walker","2021-06-19","108","11.1","0.000","0.000","0.000","0.000","0.000","0.026","0.029","0","3","83.7","-12.0","2513","89.2","89.18","2","6","6","0.0","6.38","119","166","122","154","304","327","298"
"12",543135,"Eovaldi, Nathan","2021-09-03","98","12.2","0.750","0.750","0.667","1.500","0.941","0.644","0.434","3","4","91.3","1.5","1976","87.9","88.80","1","6","6","0.9","6.76","113","159","114","152","268","316","308"
"12",608331,"Fried, Max","2021-06-18","98","12.2","0.000","0.000","0.000","0.000","0.000","0.618","0.322","0","3","108.2","24.0","2254","86.9","87.08","2","5","7","0.2","6.23","110","152","122","148","326","321","282"
"12",554430,"Wheeler, Zack","2021-04-03","90","13.3","0.000","0.000","0.000","0.000","0.000","0.141","0.152","0","3","96.1","3.0","2185","91.8","92.85","3","6","6","1.1","6.99","119","151","121","155","296","326","295"
"12",554430,"Wheeler, Zack","2021-05-06","118","10.2","0.000","0.000","0.000","0.000","0.000","0.098","0.102","0","3","70.8","10.0","2328","94.7","96.15","3","7","5","1.5","7.10","120","158","117","152","298","327","303"
"12",554430,"Wheeler, Zack","2021-08-08","108","11.1","0.000","0.000","0.000","0.000","0.000","0.632","0.318","0","3","106.7","28.0","2280","93.8","95.29","5","10","2","1.5","7.13","124","162","124","152","289","326","294"
"11",592836,"Walker, Taijuan","2021-05-06","92","12.0","0.000","0.000","0.000","0.000","0.000","0.018","0.020","0","3","69.2","57.5","2333","90.0","89.54","1","6","5","-0.5","5.99","115","154","122","149","320","338","307"
"11",592836,"Walker, Taijuan","2021-06-15","92","12.0","0.000","0.000","0.000","0.000","0.000","0.115","0.100","0","3","95.5","20.0","2140","91.4","90.54","1","4","7","-0.9","5.87","126","151","109","154","280","328","323"
"11",543135,"Eovaldi, Nathan","2021-07-24","100","11.0","0.250","0.000","0.250","0.250","0.220","0.494","0.530","1","4","70.4","9.0","2041","90.0","91.16","0","6","5","1.2","6.75","107","162","117","151","280","323","298"
"11",554430,"Wheeler, Zack","2021-06-04","101","10.9","0.250","0.250","0.500","0.500","0.310","0.172","0.161","1","4","91.5","11.0","2285","91.0","92.22","4","8","3","1.2","7.07","118","153","121","150","296","325","285"
"11",554430,"Wheeler, Zack","2021-07-23","111","9.9","0.000","0.000","0.000","0.000","0.000","0.099","0.101","0","3","76.0","17.5","2279","91.6","92.99","4","7","4","1.4","7.12","121","160","121","152","294","327","295"
"11",621111,"Buehler, Walker","2021-09-28","90","12.2","0.250","0.250","0.250","0.500","0.310","0.241","0.262","1","4","80.6","-1.5","2493","88.9","89.08","0","7","4","0.2","6.36","123","155","115","152","299","319","296"
"11",663556,"McClanahan, Shane","2021-08-07","92","12.0","0.000","0.000","0.000","0.000","0.000","0.185","0.202","0","3","98.1","-9.5","2421","90.2","90.77","1","5","6","0.6","6.72","98","153","108","148","302","309","283"
"10",621111,"Buehler, Walker","2021-08-31","92","10.9","0.000","0.000","0.000","0.000","0.000","0.085","0.088","0","3","99.3","23.5","2538","85.9","86.06","3","6","4","0.2","6.37","122","161","114","150","300","308","289"
"10",554430,"Wheeler, Zack","2021-05-01","97","10.3","0.000","0.000","0.000","0.000","0.000","0.019","0.022","0","3","61.4","20.5","2286","95.7","96.86","2","8","2","1.2","7.10","119","154","116","152","291","325","294"
"10",621111,"Buehler, Walker","2021-06-08","93","10.8","0.000","0.000","0.000","0.000","0.000","0.289","0.308","0","3","85.2","36.0","2603","89.3","89.55","3","6","4","0.3","6.35","119","169","123","154","304","314","293"
"10",554430,"Wheeler, Zack","2021-05-29","101","9.9","0.000","0.000","0.000","0.000","0.000","0.069","0.064","0","3","62.3","-25.5","2276","84.5","85.71","4","7","3","1.2","7.32","123","149","106","148","291","328","306"
"10",543135,"Eovaldi, Nathan","2021-07-01","84","11.9","0.000","0.000","0.000","0.000","0.000","0.072","0.080","0","3","89.2","14.0","1984","90.9","91.88","1","6","4","1.0","6.70","120","158","128","151","274","317","304"
"9",543135,"Eovaldi, Nathan","2021-09-08","98","9.2","0.000","0.000","0.000","0.000","0.000","0.282","0.298","0","3","79.4","-2.0","1964","89.2","90.07","1","4","5","0.9","6.72","124","164","106","149","272","321","312"
"9",608331,"Fried, Max","2021-08-20","90","10.0","0.333","0.000","0.333","0.333","0.293","0.314","0.345","1","3","90.8","1.0","2039","94.6","94.86","1","5","4","0.3","6.59","96","150","117","145","306","330","285"
"9",621111,"Buehler, Walker","2021-08-20","107","8.4","0.000","0.000","0.000","0.000","0.000","0.466","0.430","0","3","93.4","15.3","2292","91.1","91.67","2","6","3","0.6","6.47","122","156","118","152","298","318","296"
"9",608331,"Fried, Max","2021-09-29","98","9.2","0.000","0.000","0.000","0.000","0.000","0.163","0.178","0","3","96.7","38.0","2103","86.2","86.34","1","5","4","0.1","6.40","117","154","120","152","311","327","290"
"9",554430,"Wheeler, Zack","2021-04-14","108","8.3","0.667","0.000","1.000","0.667","0.586","0.362","0.371","2","3","96.0","8.5","2325","93.5","94.71","2","6","3","1.2","7.03","110","147","112","153","299","315","303"
"8",592836,"Walker, Taijuan","2021-09-29","90","8.9","0.000","0.000","0.000","0.000","0.231","0.505","0.447","0","2","92.5","-31.0","2174","85.1","83.74","2","4","4","-1.4","5.84","118","153","107","153","290","315","300"
"8",621111,"Buehler, Walker","2021-05-17","98","8.2","0.000","0.000","0.000","0.000","0.000","0.305","0.250","0","3","96.0","31.3","2838","89.0","88.93","0","6","2","-0.1","6.43","120","167","126","153","289","315","291"
"8",621111,"Buehler, Walker","2021-05-11","91","8.8","0.000","0.000","0.000","0.000","0.000","0.155","0.167","0","3","84.8","32.0","2747","89.9","90.59","2","5","3","0.7","6.63","117","157","118","149","307","318","285"
"8",608331,"Fried, Max","2021-09-24","98","8.2","0.000","0.000","0.000","0.000","0.000","0.202","0.159","0","3","86.1","2.0","2222","84.3","84.41","1","4","4","0.1","6.35","115","153","116","149","286","317","298"
"7",543135,"Eovaldi, Nathan","2021-04-07","91","7.7","0.000","0.000","0.000","0.000","0.231","0.342","0.171","0","2","77.6","-28.0","2192","90.5","90.91","1","3","4","0.4","6.56","107","153","122","144","285","319","291"
"6",592836,"Walker, Taijuan","2021-08-25","74","8.1","0.500","0.000","0.500","0.500","0.440","0.057","0.053","1","2","71.8","21.0","1669","87.5","86.92","0","3","3","-0.6","5.80","104","155","103","146","305","336","301"
"5",543135,"Eovaldi, Nathan","2021-06-14","81","6.2","0.667","0.000","0.667","0.667","0.586","0.412","0.440","2","3","88.7","4.7","2029","89.7","90.32","1","4","1","0.6","6.70","99","150","116","145","286","327","305"
"5",608331,"Fried, Max","2021-06-06","92","5.4","1.000","0.000","1.000","1.000","0.879","0.803","0.859","2","2","81.8","15.0","2464","85.7","85.82","2","4","1","0.1","6.26","96","139","127","147","315","321","293"
"3",592836,"Walker, Taijuan","2021-06-20","85","3.5","0.500","0.500","0.500","1.000","0.621","0.312","0.336","1","2","73.0","8.0","2226","79.6","79.00","0","2","1","-0.6","5.73","119","150","98","155","302","323","316"
"3",608331,"Fried, Max","2021-05-17","95","3.2","1.000","1.000","1.000","2.000","1.242","0.319","0.234","1","1","95.3","25.0","2187","93.0","93.57","1","3","0","0.6","6.33","111","156","125","152","302","311","291"